track_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake
4,1|0|1|0|0,19,9,9,0,0,0,3.28066,18,0.182259,2.26655,-0.78495,-2.93989,1,duplicate
3,1|0|1|0|0,20,10,10,0,0,0,5.94039,20,0.297019,2.26701,-0.785238,-2.93966,1,duplicate
2,1|0|1|0|0,22,11,11,0,0,0,6.95893,22,0.316315,2.26703,-0.785779,-2.93947,1,duplicate
1,1|0|1|0|0,22,11,11,0,0,0,21.0508,22,0.956854,2.26366,-0.786349,-2.9433,1,duplicate
0,1|0|1|0|0,22,11,11,0,0,0,6.82028,22,0.310013,2.26637,-0.78576,-2.93976,1,good
