track_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake
1,1|0|1|0|0,22,12,12,0,0,0,13.1743,24,0.54893,3.16862,0.390744,-2.22376,1,duplicate
0,1|0|1|0|0,24,13,13,0,0,0,12.9702,26,0.498853,3.16945,0.390596,-2.22376,1,good
